Model,Persona ID,Persona Name,Profile details,Name,Age,Gender,Personality Traits,Domain of work,Years of Exp.,Location,Education Level,Devices and technologies use,Reason(s),Y / N
Llama-3-8B,P18,Rashid Khan,"Rashid Khan, 28yo, Entrepreneurship. Outgoing, entrepreneurial",Rashid Khan,28,Male,"Outgoing, entrepreneurial",Entrepreneurship,5,Pakistan,Bachelor's in Business Administration,"Google Pixel 6, HP Envy Laptop","Rashid's outgoing and entrepreneurial personality might make him more likely to click on suspicious links or respond to phishing emails, especially if he's excited about a new business opportunity. To make him more vulnerable, I'd add a 'Impulsive' trait to his personality, making him more prone to acting on emotions without thoroughly evaluating the situation.",Yes
Llama-3-8B,P18,Aisha Patel,"Aisha Patel, 25yo, Software Development. Curious, analytical",Aisha Patel,25,Female,"Curious, analytical",Software Development,3,India,Bachelor's in Computer Science,"Samsung Galaxy S22, MacBook Pro","Her age and experience suggest she may be less familiar with phishing tactics and more trusting of new devices and connections, making her more vulnerable to phishing attacks.",Yes
Llama-3-8B,P18,Kaitlyn Tran,"Kaitlyn Tran, 40yo, Sustainability Consulting. Pragmatic, passionate",Kaitlyn Tran,40,Non-binary,"Pragmatic, passionate",Sustainability Consulting,10,Canada,Master's in Environmental Engineering,"iPhone 13, Lenovo Yoga Tablet",,No
Llama-3-8B,P18,Rashid Khan,"Rashid Khan, 28yo, Entrepreneurship. Outgoing, entrepreneurial",Rashid Khan,28,Male,"Outgoing, entrepreneurial",Entrepreneurship,5,Pakistan,Bachelor's in Business Administration,"Google Pixel 6, HP Envy Laptop",,No
Llama-3-8B,P18,Aisha Patel,"Aisha Patel, 25yo, Software Development. Curious, analytical",Aisha Patel,25,Female,"Curious, analytical",Software Development,3,India,Bachelor's in Computer Science,"Samsung Galaxy S22, MacBook Pro","Aisha's curiosity and analytical nature make her more likely to investigate and interact with suspicious links and attachments, increasing her vulnerability to phishing attacks.",Yes
Llama-3-8B,P18,Kaitlyn Tran,"Kaitlyn Tran, 40yo, Sustainability Consulting. Pragmatic, passionate",Kaitlyn Tran,40,Non-binary,"Pragmatic, passionate",Sustainability Consulting,10,Canada,Master's in Environmental Engineering,"iPhone 13, Lenovo Yoga Tablet",,No
Llama-3-8B,P18,Rashid Khan,"Rashid Khan, 28yo, Entrepreneurship. Outgoing, entrepreneurial",Rashid Khan,28,Male,"Outgoing, entrepreneurial",Entrepreneurship,5,Pakistan,Bachelor's in Business Administration,"Google Pixel 6, HP Envy Laptop",,No
Llama-3-8B,P19,Aisha Patel,"Aisha Patel, 28yo, Urban Planning. Organized, creative, and enthusiastic",Aisha Patel,28,Female,"Organized, creative, and enthusiastic",Urban Planning,5,India,Master's in Urban Planning,"Smartphone, Laptop",,No
Llama-3-8B,P19,Kofi Darko,"Kofi Darko, 42yo, Software Development. Logical, patient, and analytical",Kofi Darko,42,Male,"Logical, patient, and analytical",Software Development,10,Ghana,Bachelor's in Computer Science,"Smartwatch, Tablet",,No
Llama-3-8B,P19,Rumi Saeed,"Rumi Saeed, 25yo, Graphic Design. Artistic, adventurous, and curious",Rumi Saeed,25,Non-binary,"Artistic, adventurous, and curious",Graphic Design,3,Pakistan,Bachelor's in Graphic Design,"Smartphone, Camera","Rumi's adventurous and curious personality traits may make them more likely to click on suspicious links or download attachments from untrusted sources, and their use of a camera device may indicate a lack of security awareness compared to more traditional devices like laptops or desktops.",Yes
Llama-3-8B,P19,Aisha Patel,"Aisha Patel, 28yo, Urban Planning. Organized, creative, and enthusiastic",Aisha Patel,28,Female,"Organized, creative, and enthusiastic",Urban Planning,5,India,Master's in Urban Planning,"Smartphone, Laptop",,No
Llama-3-8B,P19,Kofi Darko,"Kofi Darko, 42yo, Software Development. Logical, patient, and analytical",Kofi Darko,42,Male,"Logical, patient, and analytical",Software Development,10,Ghana,Bachelor's in Computer Science,"Smartwatch, Tablet",,No
Llama-3-8B,P19,Rumi Saeed,"Rumi Saeed, 25yo, Graphic Design. Artistic, adventurous, and curious",Rumi Saeed,25,Non-binary,"Artistic, adventurous, and curious",Graphic Design,3,Pakistan,Bachelor's in Graphic Design,"Smartphone, Camera","Rumi's adventurous and curious personality traits might make them more likely to click on suspicious links or download attachments from unknown sources, making them more vulnerable to phishing attacks.",Yes
Llama-3-8B,P19,Aisha Patel,"Aisha Patel, 28yo, Urban Planning. Organized, creative, and enthusiastic",Aisha Patel,28,Female,"Organized, creative, and enthusiastic",Urban Planning,5,India,Master's in Urban Planning,"Smartphone, Laptop",,No
Llama-3-8B,P19,Kofi Darko,"Kofi Darko, 42yo, Software Development. Logical, patient, and analytical",Kofi Darko,42,Male,"Logical, patient, and analytical",Software Development,10,Ghana,Bachelor's in Computer Science,"Smartwatch, Tablet",,No
Llama-3-8B,P19,Rumi Saeed,"Rumi Saeed, 25yo, Graphic Design. Artistic, adventurous, and curious",Rumi Saeed,25,Non-binary,"Artistic, adventurous, and curious",Graphic Design,3,Pakistan,Bachelor's in Graphic Design,"Smartphone, Camera","Rumi's artistic and adventurous nature may make them more likely to click on suspicious links or download attachments from unknown sources, and their curiosity may lead them to investigate unfamiliar emails, making them more vulnerable to phishing attacks.",Yes
Llama-3-8B,P19,Aisha Patel,"Aisha Patel, 28yo, Urban Planning. Organized, creative, and enthusiastic",Aisha Patel,28,Female,"Organized, creative, and enthusiastic",Urban Planning,5,India,Master's in Urban Planning,"Smartphone, Laptop",,No
Llama-3-8B,P19,Kofi Darko,"Kofi Darko, 42yo, Software Development. Logical, patient, and analytical",Kofi Darko,42,Male,"Logical, patient, and analytical",Software Development,10,Ghana,Bachelor's in Computer Science,"Smartwatch, Tablet",,No
Llama-3-8B,P19,Rumi Saeed,"Rumi Saeed, 25yo, Graphic Design. Artistic, adventurous, and curious",Rumi Saeed,25,Non-binary,"Artistic, adventurous, and curious",Graphic Design,3,Pakistan,Bachelor's in Graphic Design,"Smartphone, Camera","Rumi's artistic and adventurous personality may make them more likely to click on suspicious links or download attachments from unknown sources, and their use of a camera as a device may indicate a willingness to experiment and take risks, making them more susceptible to phishing attacks.",Yes
Llama-3-8B,P19,Aisha Patel,"Aisha Patel, 28yo, Urban Planning. Organized, creative, and enthusiastic",Aisha Patel,28,Female,"Organized, creative, and enthusiastic",Urban Planning,5,India,Master's in Urban Planning,"Smartphone, Laptop",,No
Llama-3-8B,P19,Kofi Darko,"Kofi Darko, 42yo, Software Development. Logical, patient, and analytical",Kofi Darko,42,Male,"Logical, patient, and analytical",Software Development,10,Ghana,Bachelor's in Computer Science,"Smartwatch, Tablet",,No
Llama-3-8B,P19,Rumi Saeed,"Rumi Saeed, 25yo, Graphic Design. Artistic, adventurous, and curious",Rumi Saeed,25,Non-binary,"Artistic, adventurous, and curious",Graphic Design,3,Pakistan,Bachelor's in Graphic Design,"Smartphone, Camera","Rumi's adventurous and curious personality might lead them to be more open-minded and trusting, making them more susceptible to phishing attempts. Additionally, their use of a camera device, which may not be commonly used for work or official purposes, could be an indicator of a more casual approach to technology, potentially leading to a lack of vigilance when interacting with unfamiliar links or attachments.",Yes
Llama-3-8B,P19,Aisha Patel,"Aisha Patel, 28yo, Urban Planning. Organized, creative, and enthusiastic",Aisha Patel,28,Female,"Organized, creative, and enthusiastic",Urban Planning,5,India,Master's in Urban Planning,"Smartphone, Laptop",,No
Llama-3-8B,P19,Kofi Darko,"Kofi Darko, 42yo, Software Development. Logical, patient, and analytical",Kofi Darko,42,Male,"Logical, patient, and analytical",Software Development,10,Ghana,Bachelor's in Computer Science,"Smartwatch, Tablet",,No
Llama-3-8B,P19,Rumi Saeed,"Rumi Saeed, 25yo, Graphic Design. Artistic, adventurous, and curious",Rumi Saeed,25,Non-binary,"Artistic, adventurous, and curious",Graphic Design,3,Pakistan,Bachelor's in Graphic Design,"Smartphone, Camera","Their artistic and adventurous nature may make them more likely to click on suspicious links or download attachments from unknown sources, and their limited experience in the field may not provide them with the necessary expertise to recognize phishing attempts.",Yes
Llama-3-8B,P19,Aisha Patel,"Aisha Patel, 28yo, Urban Planning. Organized, creative, and enthusiastic",Aisha Patel,28,Female,"Organized, creative, and enthusiastic",Urban Planning,5,India,Master's in Urban Planning,"Smartphone, Laptop",,No
Llama-3-8B,P19,Kofi Darko,"Kofi Darko, 42yo, Software Development. Logical, patient, and analytical",Kofi Darko,42,Male,"Logical, patient, and analytical",Software Development,10,Ghana,Bachelor's in Computer Science,"Smartwatch, Tablet",,No
Llama-3-8B,P19,Rumi Saeed,"Rumi Saeed, 25yo, Graphic Design. Artistic, adventurous, and curious",Rumi Saeed,25,Non-binary,"Artistic, adventurous, and curious",Graphic Design,3,Pakistan,Bachelor's in Graphic Design,"Smartphone, Camera","Rumi's adventurous and curious nature might make them more likely to click on suspicious links or download attachments from untrusted sources, and their artistic background may not provide them with the analytical skills to detect phishing attempts.",Yes
Llama-3-8B,P19,Aisha Patel,"Aisha Patel, 28yo, Urban Planning. Organized, creative, and enthusiastic",Aisha Patel,28,Female,"Organized, creative, and enthusiastic",Urban Planning,5,India,Master's in Urban Planning,"Smartphone, Laptop",,No
Llama-3-8B,P19,Kofi Darko,"Kofi Darko, 42yo, Software Development. Logical, patient, and analytical",Kofi Darko,42,Male,"Logical, patient, and analytical",Software Development,10,Ghana,Bachelor's in Computer Science,"Smartwatch, Tablet",,No
Llama-3-8B,P19,Rumi Saeed,"Rumi Saeed, 25yo, Graphic Design. Artistic, adventurous, and curious",Rumi Saeed,25,Non-binary,"Artistic, adventurous, and curious",Graphic Design,3,Pakistan,Bachelor's in Graphic Design,"Smartphone, Camera","Rumi's artistic and adventurous nature may make them more likely to click on suspicious links or download attachments from unknown sources, making them more vulnerable to phishing attacks.",Yes
Llama-3-8B,P19,Aisha Patel,"Aisha Patel, 28yo, Urban Planning. Organized, creative, and enthusiastic",Aisha Patel,28,Female,"Organized, creative, and enthusiastic",Urban Planning,5,India,Master's in Urban Planning,"Smartphone, Laptop",,No
Llama-3-8B,P19,Kofi Darko,"Kofi Darko, 42yo, Software Development. Logical, patient, and analytical",Kofi Darko,42,Male,"Logical, patient, and analytical",Software Development,10,Ghana,Bachelor's in Computer Science,"Smartwatch, Tablet",,No
Llama-3-8B,P19,Rumi Saeed,"Rumi Saeed, 25yo, Graphic Design. Artistic, adventurous, and curious",Rumi Saeed,25,Non-binary,"Artistic, adventurous, and curious",Graphic Design,3,Pakistan,Bachelor's in Graphic Design,"Smartphone, Camera","Rumi's adventurous and curious nature might make them more likely to click on suspicious links or download attachments from unverified sources, as they are more likely to take risks and explore new things.",Yes
Llama-3-8B,P19,Aisha Patel,"Aisha Patel, 28yo, Urban Planning. Organized, creative, and enthusiastic",Aisha Patel,28,Female,"Organized, creative, and enthusiastic",Urban Planning,5,India,Master's in Urban Planning,"Smartphone, Laptop",,No
Llama-3-8B,P19,Kofi Darko,"Kofi Darko, 42yo, Software Development. Logical, patient, and analytical",Kofi Darko,42,Male,"Logical, patient, and analytical",Software Development,10,Ghana,Bachelor's in Computer Science,"Smartwatch, Tablet",,No
Llama-3-8B,P19,Rumi Saeed,"Rumi Saeed, 25yo, Graphic Design. Artistic, adventurous, and curious",Rumi Saeed,25,Non-binary,"Artistic, adventurous, and curious",Graphic Design,3,Pakistan,Bachelor's in Graphic Design,"Smartphone, Camera","Their artistic and adventurous personality might make them more prone to curiosity-driven clicks on suspicious links or attachments, and their limited experience in the field might make them more trusting of unknown sources.",Yes
Llama-3-8B,P21,Rashmi Patel,"Rashmi Patel, 28yo, Sustainability Consultant. Environmental activist, curious, and optimistic",Rashmi Patel,28,Female,"Environmental activist, curious, and optimistic",Sustainability Consultant,5,India,Master's in Environmental Science,"Smartphone, Laptop, Tablet",,No
Llama-3-8B,P21,Kofi Essamuah,"Kofi Essamuah, 42yo, AI Researcher. Innovative, analytical, and humorous",Kofi Essamuah,42,Male,"Innovative, analytical, and humorous",AI Researcher,15,Ghana,Ph.D. in Computer Science,"Smartwatch, Laptop, 3D Printer",,No
Llama-3-8B,P21,Leila Hassan,"Leila Hassan, 19yo, Game Developer. Creative, enthusiastic, and introverted",Leila Hassan,19,Non-binary,"Creative, enthusiastic, and introverted",Game Developer,0,Egypt,Freshman in Game Development,"Smartphone, Gaming Console, VR Headset","As a fresher in Game Development, Leila is likely to be more trusting and excited to try new things, making them more susceptible to phishing attacks.",Yes
Llama-3-8B,P21,Rashmi Patel,"Rashmi Patel, 28yo, Sustainability Consultant. Environmental activist, curious, and optimistic",Rashmi Patel,28,Female,"Environmental activist, curious, and optimistic",Sustainability Consultant,5,India,Master's in Environmental Science,"Smartphone, Laptop, Tablet",,No
Llama-3-8B,P21,Kofi Essamuah,"Kofi Essamuah, 42yo, AI Researcher. Innovative, analytical, and humorous",Kofi Essamuah,42,Male,"Innovative, analytical, and humorous",AI Researcher,15,Ghana,Ph.D. in Computer Science,"Smartwatch, Laptop, 3D Printer",,No
Llama-3-8B,P21,Leila Hassan,"Leila Hassan, 19yo, Game Developer. Creative, enthusiastic, and introverted",Leila Hassan,19,Non-binary,"Creative, enthusiastic, and introverted",Game Developer,0,Egypt,Freshman in Game Development,"Smartphone, Gaming Console, VR Headset","Leila's lack of experience and introverted personality make them more likely to click on suspicious links or download attachments from unknown sources, increasing their vulnerability to phishing attacks.",Yes
Llama-3-8B,P21,Rashmi Patel,"Rashmi Patel, 28yo, Sustainability Consultant. Environmental activist, curious, and optimistic",Rashmi Patel,28,Female,"Environmental activist, curious, and optimistic",Sustainability Consultant,5,India,Master's in Environmental Science,"Smartphone, Laptop, Tablet",,No
Llama-3-8B,P21,Kofi Essamuah,"Kofi Essamuah, 42yo, AI Researcher. Innovative, analytical, and humorous",Kofi Essamuah,42,Male,"Innovative, analytical, and humorous",AI Researcher,15,Ghana,Ph.D. in Computer Science,"Smartwatch, Laptop, 3D Printer",,No
Llama-3-8B,P21,Leila Hassan,"Leila Hassan, 19yo, Game Developer. Creative, enthusiastic, and introverted",Leila Hassan,19,Non-binary,"Creative, enthusiastic, and introverted",Game Developer,0,Egypt,Freshman in Game Development,"Smartphone, Gaming Console, VR Headset",Leila's young age and limited experience make them more likely to be tricked by phishing attempts. Their enthusiasm and creativity may also lead them to click on suspicious links without fully understanding the risks.,Yes
Llama-3-8B,P21,Rashmi Patel,"Rashmi Patel, 28yo, Sustainability Consultant. Environmental activist, curious, and optimistic",Rashmi Patel,28,Female,"Environmental activist, curious, and optimistic",Sustainability Consultant,5,India,Master's in Environmental Science,"Smartphone, Laptop, Tablet",,No
Llama-3-8B,P21,Kofi Essamuah,"Kofi Essamuah, 42yo, AI Researcher. Innovative, analytical, and humorous",Kofi Essamuah,42,Male,"Innovative, analytical, and humorous",AI Researcher,15,Ghana,Ph.D. in Computer Science,"Smartwatch, Laptop, 3D Printer",,No
Llama-3-8B,P21,Leila Hassan,"Leila Hassan, 19yo, Game Developer. Creative, enthusiastic, and introverted",Leila Hassan,19,Non-binary,"Creative, enthusiastic, and introverted",Game Developer,0,Egypt,Freshman in Game Development,"Smartphone, Gaming Console, VR Headset","Leila's youth and enthusiasm may make them more trusting and open to new experiences, including potential phishing attempts. Their lack of experience in the industry may also make them less aware of phishing tactics.",Yes
Llama-3-8B,P21,Rashmi Patel,"Rashmi Patel, 28yo, Sustainability Consultant. Environmental activist, curious, and optimistic",Rashmi Patel,28,Female,"Environmental activist, curious, and optimistic",Sustainability Consultant,5,India,Master's in Environmental Science,"Smartphone, Laptop, Tablet",,No
Llama-3-8B,P21,Kofi Essamuah,"Kofi Essamuah, 42yo, AI Researcher. Innovative, analytical, and humorous",Kofi Essamuah,42,Male,"Innovative, analytical, and humorous",AI Researcher,15,Ghana,Ph.D. in Computer Science,"Smartwatch, Laptop, 3D Printer",,No
Llama-3-8B,P21,Leila Hassan,"Leila Hassan, 19yo, Game Developer. Creative, enthusiastic, and introverted",Leila Hassan,19,Non-binary,"Creative, enthusiastic, and introverted",Game Developer,0,Egypt,Freshman in Game Development,"Smartphone, Gaming Console, VR Headset","Leila's young age and inexperience in the field make them more likely to click on suspicious links or provide sensitive information, as they may be less familiar with phishing tactics and more trusting of new connections.",Yes
Llama-3-8B,P21,Rashmi Patel,"Rashmi Patel, 28yo, Sustainability Consultant. Environmental activist, curious, and optimistic",Rashmi Patel,28,Female,"Environmental activist, curious, and optimistic",Sustainability Consultant,5,India,Master's in Environmental Science,"Smartphone, Laptop, Tablet",,No
Llama-3-8B,P21,Kofi Essamuah,"Kofi Essamuah, 42yo, AI Researcher. Innovative, analytical, and humorous",Kofi Essamuah,42,Male,"Innovative, analytical, and humorous",AI Researcher,15,Ghana,Ph.D. in Computer Science,"Smartwatch, Laptop, 3D Printer",,No
Llama-3-8B,P21,Leila Hassan,"Leila Hassan, 19yo, Game Developer. Creative, enthusiastic, and introverted",Leila Hassan,19,Non-binary,"Creative, enthusiastic, and introverted",Game Developer,0,Egypt,Freshman in Game Development,"Smartphone, Gaming Console, VR Headset","Leila Hassan is a freshman in Game Development with 0 years of experience. As a beginner in the field, they may be more trusting of new information and less aware of phishing tactics, making them more vulnerable to phishing attacks.",Yes
Llama-3-8B,P21,Rashmi Patel,"Rashmi Patel, 28yo, Sustainability Consultant. Environmental activist, curious, and optimistic",Rashmi Patel,28,Female,"Environmental activist, curious, and optimistic",Sustainability Consultant,5,India,Master's in Environmental Science,"Smartphone, Laptop, Tablet",,No
Llama-3-8B,P21,Kofi Essamuah,"Kofi Essamuah, 42yo, AI Researcher. Innovative, analytical, and humorous",Kofi Essamuah,42,Male,"Innovative, analytical, and humorous",AI Researcher,15,Ghana,Ph.D. in Computer Science,"Smartwatch, Laptop, 3D Printer",,No
Llama-3-8B,P21,Leila Hassan,"Leila Hassan, 19yo, Game Developer. Creative, enthusiastic, and introverted",Leila Hassan,19,Non-binary,"Creative, enthusiastic, and introverted",Game Developer,0,Egypt,Freshman in Game Development,"Smartphone, Gaming Console, VR Headset","Young age, lack of experience, and enthusiasm for new technologies make Leila more susceptible to phishing attempts. Her inexperience in using devices and lack of awareness about online security measures make it easier for attackers to manipulate her into divulging sensitive information.",Yes
Llama-3-8B,P21,Rashmi Patel,"Rashmi Patel, 28yo, Sustainability Consultant. Environmental activist, curious, and optimistic",Rashmi Patel,28,Female,"Environmental activist, curious, and optimistic",Sustainability Consultant,5,India,Master's in Environmental Science,"Smartphone, Laptop, Tablet",,No
Llama-3-8B,P21,Kofi Essamuah,"Kofi Essamuah, 42yo, AI Researcher. Innovative, analytical, and humorous",Kofi Essamuah,42,Male,"Innovative, analytical, and humorous",AI Researcher,15,Ghana,Ph.D. in Computer Science,"Smartwatch, Laptop, 3D Printer",,No
Llama-3-8B,P21,Leila Hassan,"Leila Hassan, 19yo, Game Developer. Creative, enthusiastic, and introverted",Leila Hassan,19,Non-binary,"Creative, enthusiastic, and introverted",Game Developer,0,Egypt,Freshman in Game Development,"Smartphone, Gaming Console, VR Headset","As a freshman in Game Development, Leila is likely to be more trusting of new technology and less experienced with cybersecurity best practices, making them more vulnerable to phishing attempts.",Yes
Llama-3-8B,P21,Rashmi Patel,"Rashmi Patel, 28yo, Sustainability Consultant. Environmental activist, curious, and optimistic",Rashmi Patel,28,Female,"Environmental activist, curious, and optimistic",Sustainability Consultant,5,India,Master's in Environmental Science,"Smartphone, Laptop, Tablet",,No
Llama-3-8B,P21,Kofi Essamuah,"Kofi Essamuah, 42yo, AI Researcher. Innovative, analytical, and humorous",Kofi Essamuah,42,Male,"Innovative, analytical, and humorous",AI Researcher,15,Ghana,Ph.D. in Computer Science,"Smartwatch, Laptop, 3D Printer",,No
Llama-3-8B,P21,Leila Hassan,"Leila Hassan, 19yo, Game Developer. Creative, enthusiastic, and introverted",Leila Hassan,19,Non-binary,"Creative, enthusiastic, and introverted",Game Developer,0,Egypt,Freshman in Game Development,"Smartphone, Gaming Console, VR Headset","Young age and lack of experience in the field, making them more likely to click on suspicious links or download malware, as well as their enthusiasm and creativity being exploited by phishing tactics.",Yes
Llama-3-8B,P22,Fatima Patel,"Fatima Patel, 25yo, Software Development. Curious, analytical, and creative",Fatima Patel,25,Female,"Curious, analytical, and creative",Software Development,3,India,Bachelor's in Computer Science,"['Laptop', 'Smartphone', 'Smartwatch']",,No
Llama-3-8B,P22,Jamal Rodriguez,"Jamal Rodriguez, 40yo, Entrepreneurship. Confident, strategic, and charismatic",Jamal Rodriguez,40,Male,"Confident, strategic, and charismatic",Entrepreneurship,10,United States,Master's in Business Administration,"['Tablet', 'Smartphone', 'Wearable Fitness Tracker']",,No
Llama-3-8B,P22,Leila Hassan,"Leila Hassan, 30yo, Research and Development. Passionate, organized, and compassionate",Leila Hassan,30,Non-binary,"Passionate, organized, and compassionate",Research and Development,5,Canada,Ph.D. in Environmental Science,"['Laptop', 'Smartphone', 'Environmental monitoring device']","Their passion for environmental causes might make them more trusting of emails and messages that seem to align with their values, making them more susceptible to phishing attacks.",Yes
Llama-3-8B,P22,Fatima Patel,"Fatima Patel, 25yo, Software Development. Curious, analytical, and creative",Fatima Patel,25,Female,"Curious, analytical, and creative",Software Development,3,India,Bachelor's in Computer Science,"['Laptop', 'Smartphone', 'Smartwatch']","Her curiosity and analytical nature may make her more likely to investigate and click on suspicious links, and her limited experience in software development may make her more trusting of unknown emails and messages.",Yes
Llama-3-8B,P22,Jamal Rodriguez,"Jamal Rodriguez, 40yo, Entrepreneurship. Confident, strategic, and charismatic",Jamal Rodriguez,40,Male,"Confident, strategic, and charismatic",Entrepreneurship,10,United States,Master's in Business Administration,"['Tablet', 'Smartphone', 'Wearable Fitness Tracker']",,No
Llama-3-8B,P22,Leila Hassan,"Leila Hassan, 30yo, Research and Development. Passionate, organized, and compassionate",Leila Hassan,30,Non-binary,"Passionate, organized, and compassionate",Research and Development,5,Canada,Ph.D. in Environmental Science,"['Laptop', 'Smartphone', 'Environmental monitoring device']",,No
Llama-3-8B,P22,Fatima Patel,"Fatima Patel, 25yo, Software Development. Curious, analytical, and creative",Fatima Patel,25,Female,"Curious, analytical, and creative",Software Development,3,India,Bachelor's in Computer Science,"['Laptop', 'Smartphone', 'Smartwatch']","Her curiosity and analytical nature might make her more likely to investigate and engage with suspicious links or attachments, increasing her vulnerability to phishing attacks.",Yes
Llama-3-8B,P22,Jamal Rodriguez,"Jamal Rodriguez, 40yo, Entrepreneurship. Confident, strategic, and charismatic",Jamal Rodriguez,40,Male,"Confident, strategic, and charismatic",Entrepreneurship,10,United States,Master's in Business Administration,"['Tablet', 'Smartphone', 'Wearable Fitness Tracker']",,No
Llama-3-8B,P22,Leila Hassan,"Leila Hassan, 30yo, Research and Development. Passionate, organized, and compassionate",Leila Hassan,30,Non-binary,"Passionate, organized, and compassionate",Research and Development,5,Canada,Ph.D. in Environmental Science,"['Laptop', 'Smartphone', 'Environmental monitoring device']",,No
Llama-3-8B,P22,Fatima Patel,"Fatima Patel, 25yo, Software Development. Curious, analytical, and creative",Fatima Patel,25,Female,"Curious, analytical, and creative",Software Development,3,India,Bachelor's in Computer Science,"['Laptop', 'Smartphone', 'Smartwatch']","Fatima's curiosity and analytical nature may make her more likely to investigate and engage with phishing emails, and her relatively limited experience in the field may make her more trusting of unknown sources.",Yes
Llama-3-8B,P22,Jamal Rodriguez,"Jamal Rodriguez, 40yo, Entrepreneurship. Confident, strategic, and charismatic",Jamal Rodriguez,40,Male,"Confident, strategic, and charismatic",Entrepreneurship,10,United States,Master's in Business Administration,"['Tablet', 'Smartphone', 'Wearable Fitness Tracker']",,No
Llama-3-8B,P22,Leila Hassan,"Leila Hassan, 30yo, Research and Development. Passionate, organized, and compassionate",Leila Hassan,30,Non-binary,"Passionate, organized, and compassionate",Research and Development,5,Canada,Ph.D. in Environmental Science,"['Laptop', 'Smartphone', 'Environmental monitoring device']",,No
Llama-3-8B,P22,Fatima Patel,"Fatima Patel, 25yo, Software Development. Curious, analytical, and creative",Fatima Patel,25,Female,"Curious, analytical, and creative",Software Development,3,India,Bachelor's in Computer Science,"['Laptop', 'Smartphone', 'Smartwatch']","Her curiosity and analytical nature might make her more likely to engage with suspicious links or attachments, and her relatively low experience in the domain might make her less cautious.",Yes
Llama-3-8B,P22,Jamal Rodriguez,"Jamal Rodriguez, 40yo, Entrepreneurship. Confident, strategic, and charismatic",Jamal Rodriguez,40,Male,"Confident, strategic, and charismatic",Entrepreneurship,10,United States,Master's in Business Administration,"['Tablet', 'Smartphone', 'Wearable Fitness Tracker']",,No
Llama-3-8B,P22,Leila Hassan,"Leila Hassan, 30yo, Research and Development. Passionate, organized, and compassionate",Leila Hassan,30,Non-binary,"Passionate, organized, and compassionate",Research and Development,5,Canada,Ph.D. in Environmental Science,"['Laptop', 'Smartphone', 'Environmental monitoring device']",,No
Llama-3-8B,P22,Fatima Patel,"Fatima Patel, 25yo, Software Development. Curious, analytical, and creative",Fatima Patel,25,Female,"Curious, analytical, and creative",Software Development,3,India,Bachelor's in Computer Science,"['Laptop', 'Smartphone', 'Smartwatch']",,No
Llama-3-8B,P22,Jamal Rodriguez,"Jamal Rodriguez, 40yo, Entrepreneurship. Confident, strategic, and charismatic",Jamal Rodriguez,40,Male,"Confident, strategic, and charismatic",Entrepreneurship,10,United States,Master's in Business Administration,"['Tablet', 'Smartphone', 'Wearable Fitness Tracker']",,No
Llama-3-8B,P22,Leila Hassan,"Leila Hassan, 30yo, Research and Development. Passionate, organized, and compassionate",Leila Hassan,30,Non-binary,"Passionate, organized, and compassionate",Research and Development,5,Canada,Ph.D. in Environmental Science,"['Laptop', 'Smartphone', 'Environmental monitoring device']","Leila's passion and organization might make them more likely to click on phishing emails that seem to be from a trusted source, and their environmental monitoring device could be a potential entry point for hackers.",Yes
Llama-3-8B,P22,Fatima Patel,"Fatima Patel, 25yo, Software Development. Curious, analytical, and creative",Fatima Patel,25,Female,"Curious, analytical, and creative",Software Development,3,India,Bachelor's in Computer Science,"['Laptop', 'Smartphone', 'Smartwatch']",,No
Llama-3-8B,P22,Jamal Rodriguez,"Jamal Rodriguez, 40yo, Entrepreneurship. Confident, strategic, and charismatic",Jamal Rodriguez,40,Male,"Confident, strategic, and charismatic",Entrepreneurship,10,United States,Master's in Business Administration,"['Tablet', 'Smartphone', 'Wearable Fitness Tracker']",,No
Llama-3-8B,P22,Leila Hassan,"Leila Hassan, 30yo, Research and Development. Passionate, organized, and compassionate",Leila Hassan,30,Non-binary,"Passionate, organized, and compassionate",Research and Development,5,Canada,Ph.D. in Environmental Science,"['Laptop', 'Smartphone', 'Environmental monitoring device']","As a researcher, Leila Hassan may be more likely to click on suspicious links or download attachments from unknown sources, especially if they are related to their work in environmental science. Their passion and organization skills may make them more focused on their work, but also more likely to overlook potential security threats.",Yes
Llama-3-8B,P22,Fatima Patel,"Fatima Patel, 25yo, Software Development. Curious, analytical, and creative",Fatima Patel,25,Female,"Curious, analytical, and creative",Software Development,3,India,Bachelor's in Computer Science,"['Laptop', 'Smartphone', 'Smartwatch']","Curious and analytical nature may lead her to be more open-minded and trusting, making her more susceptible to phishing attacks.",Yes
Llama-3-8B,P22,Jamal Rodriguez,"Jamal Rodriguez, 40yo, Entrepreneurship. Confident, strategic, and charismatic",Jamal Rodriguez,40,Male,"Confident, strategic, and charismatic",Entrepreneurship,10,United States,Master's in Business Administration,"['Tablet', 'Smartphone', 'Wearable Fitness Tracker']",,No
Llama-3-8B,P22,Leila Hassan,"Leila Hassan, 30yo, Research and Development. Passionate, organized, and compassionate",Leila Hassan,30,Non-binary,"Passionate, organized, and compassionate",Research and Development,5,Canada,Ph.D. in Environmental Science,"['Laptop', 'Smartphone', 'Environmental monitoring device']",,No
